,Mes,Dia,Año,RMAN,export,MySQL,ICEBERG,RMANINT,TCONTROL,UGCDB,migra,Adviser,BachilleratoVirtual,Biblioteca_Nuevo,Diplomados,Helpdesk,IMC,Intranet,MiNube,PaginaUGC,ReservasCmav,Soporte,SoporteOld,Univirtual,VirtualUlagranco,Juridico,Tamaño
11211,1,17,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006334886
11212,1,17,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006334886
11213,1,17,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006334886
11214,1,18,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017000988
11215,1,18,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017000988
11216,1,18,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017000988
11217,1,18,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017000988
11218,1,19,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02766721
11219,1,19,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02766721
11220,1,19,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02766721
11221,1,19,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02766721
11222,1,20,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038333192
11223,1,20,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038333192
11224,1,20,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038333192
11225,1,20,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038333192
11226,1,21,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045676544
11227,1,21,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045676544
11228,1,21,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045676544
11229,1,21,2019,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045676544
